# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-29
#
# GRDC-No.:              6348800
# River:                 PO, FIUME
# Station:               PONTELAGOSCURO
# Country:               --
# Latitude (DD):       44.883335
# Longitude (DD):      11.6
# Catchment area (km²):      
# Altitude (m ASL):        8.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1918 - 1998
# No. of years:          81
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 963
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1937-05-01;--:--;   2060.000;   -999.000;   0
1937-06-01;--:--;   2620.000;   -999.000;   0
1937-07-01;--:--;   1400.000;   -999.000;   0
1937-08-01;--:--;   1210.000;   -999.000;   0
1937-09-01;--:--;   2670.000;   -999.000;   0
1937-10-01;--:--;   3100.000;   -999.000;   0
1937-11-01;--:--;   4030.000;   -999.000;   0
1937-12-01;--:--;   1840.000;   -999.000;   0
1938-01-01;--:--;   1110.000;   -999.000;   0
1938-02-01;--:--;    969.000;   -999.000;   0
1938-03-01;--:--;    870.000;   -999.000;   0
1938-04-01;--:--;    444.000;   -999.000;   0
1938-05-01;--:--;    721.000;   -999.000;   0
1938-06-01;--:--;   1670.000;   -999.000;   0
1938-07-01;--:--;   1060.000;   -999.000;   0
1938-08-01;--:--;    759.000;   -999.000;   0
1938-09-01;--:--;   1820.000;   -999.000;   0
1938-10-01;--:--;   1740.000;   -999.000;   0
1938-11-01;--:--;   1220.000;   -999.000;   0
1938-12-01;--:--;   1380.000;   -999.000;   0
1939-01-01;--:--;   1710.000;   -999.000;   0
1939-02-01;--:--;   1190.000;   -999.000;   0
1939-03-01;--:--;   1270.000;   -999.000;   0
1939-04-01;--:--;   1140.000;   -999.000;   0
1939-05-01;--:--;   2760.000;   -999.000;   0
1939-06-01;--:--;   2520.000;   -999.000;   0
1939-07-01;--:--;   1780.000;   -999.000;   0
1939-08-01;--:--;   2010.000;   -999.000;   0
1939-09-01;--:--;   2040.000;   -999.000;   0
1939-10-01;--:--;   1720.000;   -999.000;   0
1939-11-01;--:--;   1860.000;   -999.000;   0
1939-12-01;--:--;   1380.000;   -999.000;   0
1940-01-01;--:--;    864.000;   -999.000;   0
1940-02-01;--:--;   1130.000;   -999.000;   0
1940-03-01;--:--;    899.000;   -999.000;   0
1940-04-01;--:--;    671.000;   -999.000;   0
1940-05-01;--:--;   1620.000;   -999.000;   0
1940-06-01;--:--;   2150.000;   -999.000;   0
1940-07-01;--:--;   2270.000;   -999.000;   0
1940-08-01;--:--;    943.000;   -999.000;   0
1940-09-01;--:--;    768.000;   -999.000;   0
1940-10-01;--:--;   1770.000;   -999.000;   0
1940-11-01;--:--;   1980.000;   -999.000;   0
1940-12-01;--:--;   1160.000;   -999.000;   0
1941-01-01;--:--;   1330.000;   -999.000;   0
1941-02-01;--:--;   2140.000;   -999.000;   0
1941-03-01;--:--;   1750.000;   -999.000;   0
1941-04-01;--:--;   2720.000;   -999.000;   0
1941-05-01;--:--;   2550.000;   -999.000;   0
1941-06-01;--:--;   3870.000;   -999.000;   0
1941-07-01;--:--;   2000.000;   -999.000;   0
1941-08-01;--:--;   1140.000;   -999.000;   0
1941-09-01;--:--;    800.000;   -999.000;   0
1941-10-01;--:--;   1550.000;   -999.000;   0
1941-11-01;--:--;   1540.000;   -999.000;   0
1941-12-01;--:--;    988.000;   -999.000;   0
1942-01-01;--:--;    760.000;   -999.000;   0
1942-02-01;--:--;    717.000;   -999.000;   0
1942-03-01;--:--;   1630.000;   -999.000;   0
1942-04-01;--:--;   1030.000;   -999.000;   0
1942-05-01;--:--;   1390.000;   -999.000;   0
1942-06-01;--:--;    811.000;   -999.000;   0
1942-07-01;--:--;    702.000;   -999.000;   0
1942-08-01;--:--;    511.000;   -999.000;   0
1942-09-01;--:--;    839.000;   -999.000;   0
1942-10-01;--:--;   1770.000;   -999.000;   0
1942-11-01;--:--;   2470.000;   -999.000;   0
1942-12-01;--:--;   1220.000;   -999.000;   0
1943-01-01;--:--;   1000.000;   -999.000;   0
1943-02-01;--:--;   1280.000;   -999.000;   0
1943-03-01;--:--;   1020.000;   -999.000;   0
1943-04-01;--:--;    945.000;   -999.000;   0
1943-05-01;--:--;   1580.000;   -999.000;   0
1943-06-01;--:--;    589.000;   -999.000;   0
1943-07-01;--:--;    360.000;   -999.000;   0
1943-08-01;--:--;    330.000;   -999.000;   0
1943-09-01;--:--;    815.000;   -999.000;   0
1943-10-01;--:--;   1370.000;   -999.000;   0
1943-11-01;--:--;   1100.000;   -999.000;   0
1943-12-01;--:--;   1470.000;   -999.000;   0
1944-01-01;--:--;    758.000;   -999.000;   0
1944-02-01;--:--;    551.000;   -999.000;   0
1944-03-01;--:--;    698.000;   -999.000;   0
1944-04-01;--:--;    558.000;   -999.000;   0
1944-05-01;--:--;    367.000;   -999.000;   0
1944-06-01;--:--;    401.000;   -999.000;   0
1944-07-01;--:--;    821.000;   -999.000;   0
1944-08-01;--:--;    672.000;   -999.000;   0
1944-09-01;--:--;    743.000;   -999.000;   0
1944-10-01;--:--;   2400.000;   -999.000;   0
1944-11-01;--:--;   1890.000;   -999.000;   0
1944-12-01;--:--;    996.000;   -999.000;   0
1945-01-01;--:--;    758.000;   -999.000;   0
1945-02-01;--:--;   1080.000;   -999.000;   0
1945-03-01;--:--;    911.000;   -999.000;   0
1945-04-01;--:--;    872.000;   -999.000;   0
1945-05-01;--:--;    514.000;   -999.000;   0
1945-06-01;--:--;    612.000;   -999.000;   0
1945-07-01;--:--;    350.000;   -999.000;   0
1945-08-01;--:--;    764.000;   -999.000;   0
