# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-29
#
# GRDC-No.:              6348400
# River:                 PO, FIUME
# Station:               PIACENZA
# Country:               --
# Latitude (DD):       45.016666
# Longitude (DD):      9.666667
# Catchment area (km²):      
# Altitude (m ASL):        42.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1924 - 1985
# No. of years:          62
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 744
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1935-01-01;--:--;    585.000;   -999.000;   0
1935-02-01;--:--;    609.000;   -999.000;   0
1935-03-01;--:--;    607.000;   -999.000;   0
1935-04-01;--:--;    466.000;   -999.000;   0
1935-05-01;--:--;   1050.000;   -999.000;   0
1935-06-01;--:--;   1390.000;   -999.000;   0
1935-07-01;--:--;    645.000;   -999.000;   0
1935-08-01;--:--;    923.000;   -999.000;   0
1935-09-01;--:--;    866.000;   -999.000;   0
1935-10-01;--:--;   2060.000;   -999.000;   0
1935-11-01;--:--;   2600.000;   -999.000;   0
1935-12-01;--:--;   1370.000;   -999.000;   0
1936-01-01;--:--;   1660.000;   -999.000;   0
1936-02-01;--:--;   1180.000;   -999.000;   0
1936-03-01;--:--;   1960.000;   -999.000;   0
1936-04-01;--:--;   1930.000;   -999.000;   0
1936-05-01;--:--;   2530.000;   -999.000;   0
1936-06-01;--:--;   2360.000;   -999.000;   0
1936-07-01;--:--;   1730.000;   -999.000;   0
1936-08-01;--:--;    780.000;   -999.000;   0
1936-09-01;--:--;   1120.000;   -999.000;   0
1936-10-01;--:--;    694.000;   -999.000;   0
1936-11-01;--:--;    569.000;   -999.000;   0
1936-12-01;--:--;    559.000;   -999.000;   0
1937-01-01;--:--;    458.000;   -999.000;   0
1937-02-01;--:--;    640.000;   -999.000;   0
1937-03-01;--:--;   1300.000;   -999.000;   0
1937-04-01;--:--;   1370.000;   -999.000;   0
1937-05-01;--:--;   1540.000;   -999.000;   0
1937-06-01;--:--;   1770.000;   -999.000;   0
1937-07-01;--:--;    753.000;   -999.000;   0
1937-08-01;--:--;    574.000;   -999.000;   0
1937-09-01;--:--;   1370.000;   -999.000;   0
1937-10-01;--:--;   1830.000;   -999.000;   0
1937-11-01;--:--;   2240.000;   -999.000;   0
